,objectIsPart,objectPresence,objectcounts,objectnames,proportionClassIsPart,wordnet_found,wordnet_level1,wordnet_synset,wordnet_hypernym,wordnet_gloss,wordnet_synonyms,wordnet_frequency
10,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],0.0,['air hockey table'],0.0,1,['table game'],"['table game. game. activity. act, deed, human action, human activity. event. psychological feature. abstraction, abstract entity. entity. ']","[[array(['table game'], dtype='<U10')]
 [array(['game'], dtype='<U4')]
 [array(['activity'], dtype='<U8')]
 [array(['act, deed, human action, human activity'], dtype='<U39')]
 [array(['event'], dtype='<U5')]
 [array(['psychological feature'], dtype='<U21')]
 [array(['abstraction, abstract entity'], dtype='<U28')]
 [array(['entity'], dtype='<U6')]]",['a game that is played on a table'],['table game'],0
11,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],0.0,['air machine'],0.0,1,['machine'],"['machine. device. instrumentality, instrumentation. artifact, artefact. whole, unit. object, physical object. physical entity. entity. ']","[[array(['machine'], dtype='<U7')]
 [array(['device'], dtype='<U6')]
 [array(['instrumentality, instrumentation'], dtype='<U32')]
 [array(['artifact, artefact'], dtype='<U18')]
 [array(['whole, unit'], dtype='<U11')]
 [array(['object, physical object'], dtype='<U23')]
 [array(['physical entity'], dtype='<U15')]
 [array(['entity'], dtype='<U6')]]",['any mechanical or electrical device that transmits or modifies energy to perform or assist in the performance of human tasks'],['machine'],33
12,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],0.0,['aircraft carrier'],0.0,1,"['aircraft carrier, carrier, flattop, attack aircraft carrier']","['aircraft carrier, carrier, flattop, attack aircraft carrier. warship, war vessel, combat ship. ship. vessel, watercraft. craft. vehicle. conveyance, transport. instrumentality, instrumentation. artifact, artefact. whole, unit. object, physical object. physical entity. entity. ']","[[array(['aircraft carrier, carrier, flattop, attack aircraft carrier'],
      dtype='<U59')]
 [array(['warship, war vessel, combat ship'], dtype='<U32')]
 [array(['ship'], dtype='<U4')]
 [array(['vessel, watercraft'], dtype='<U18')]
 [array(['craft'], dtype='<U5')]
 [array(['vehicle'], dtype='<U7')]
 [array(['conveyance, transport'], dtype='<U21')]
 [array(['instrumentality, instrumentation'], dtype='<U32')]
 [array(['artifact, artefact'], dtype='<U18')]
 [array(['whole, unit'], dtype='<U11')]
 [array(['object, physical object'], dtype='<U23')]
 [array(['physical entity'], dtype='<U15')]
 [array(['entity'], dtype='<U6')]]",['a large warship that carries planes and has a long flat deck for takeoffs and landings'],"['aircraft carrier, carrier, flattop, attack aircraft carrier']",1
13,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],317.0,"['airplane, aeroplane, plane']",0.0,1,"['airplane, aeroplane, plane']","['airplane, aeroplane, plane. heavier-than-air craft. aircraft. craft. vehicle. conveyance, transport. instrumentality, instrumentation. artifact, artefact. whole, unit. object, physical object. physical entity. entity. ']","[[array(['airplane, aeroplane, plane'], dtype='<U26')]
 [array(['heavier-than-air craft'], dtype='<U22')]
 [array(['aircraft'], dtype='<U8')]
 [array(['craft'], dtype='<U5')]
 [array(['vehicle'], dtype='<U7')]
 [array(['conveyance, transport'], dtype='<U21')]
 [array(['instrumentality, instrumentation'], dtype='<U32')]
 [array(['artifact, artefact'], dtype='<U18')]
 [array(['whole, unit'], dtype='<U11')]
 [array(['object, physical object'], dtype='<U23')]
 [array(['physical entity'], dtype='<U15')]
 [array(['entity'], dtype='<U6')]]","['an aircraft that has a fixed wing and is powered by propellers or jets; ""the flight was delayed due to trouble with the airplane""']","['airplane, aeroplane, plane']",5
14,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],1.0,['airport cart'],0.0,0,[],[],[],[],[],0
15,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],0.0,['alarm'],0.0,1,"['alarm, warning device, alarm system']","['alarm, warning device, alarm system. device. instrumentality, instrumentation. artifact, artefact. whole, unit. object, physical object. physical entity. entity. ']","[[array(['alarm, warning device, alarm system'], dtype='<U35')]
 [array(['device'], dtype='<U6')]
 [array(['instrumentality, instrumentation'], dtype='<U32')]
 [array(['artifact, artefact'], dtype='<U18')]
 [array(['whole, unit'], dtype='<U11')]
 [array(['object, physical object'], dtype='<U23')]
 [array(['physical entity'], dtype='<U15')]
 [array(['entity'], dtype='<U6')]]",['a device that signals the occurrence of some undesirable event'],"['alarm, warning device, alarm system']",3
16,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],0.0,['alarm clock'],0.0,1,"['alarm clock, alarm']","['alarm clock, alarm. clock. timepiece, timekeeper, horologe. measuring instrument, measuring system, measuring device. instrument. device. instrumentality, instrumentation. artifact, artefact. whole, unit. object, physical object. physical entity. entity. ']","[[array(['alarm clock, alarm'], dtype='<U18')]
 [array(['clock'], dtype='<U5')]
 [array(['timepiece, timekeeper, horologe'], dtype='<U31')]
 [array(['measuring instrument, measuring system, measuring device'],
      dtype='<U56')]
 [array(['instrument'], dtype='<U10')]
 [array(['device'], dtype='<U6')]
 [array(['instrumentality, instrumentation'], dtype='<U32')]
 [array(['artifact, artefact'], dtype='<U18')]
 [array(['whole, unit'], dtype='<U11')]
 [array(['object, physical object'], dtype='<U23')]
 [array(['physical entity'], dtype='<U15')]
 [array(['entity'], dtype='<U6')]]",['a clock that wakes a sleeper at some preset time'],"['alarm clock, alarm']",0
17,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],4.0,['alembic'],0.0,1,['alembic'],"['alembic. retort. vessel. container. instrumentality, instrumentation. artifact, artefact. whole, unit. object, physical object. physical entity. entity. ']","[[array(['alembic'], dtype='<U7')]
 [array(['retort'], dtype='<U6')]
 [array(['vessel'], dtype='<U6')]
 [array(['container'], dtype='<U9')]
 [array(['instrumentality, instrumentation'], dtype='<U32')]
 [array(['artifact, artefact'], dtype='<U18')]
 [array(['whole, unit'], dtype='<U11')]
 [array(['object, physical object'], dtype='<U23')]
 [array(['physical entity'], dtype='<U15')]
 [array(['entity'], dtype='<U6')]]",['an obsolete kind of container used for distillation; two retorts connected by a tube'],['alembic'],0
18,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],0.0,['alga'],0.0,1,"['alga, algae']","['alga, algae. protoctist. microorganism, micro-organism. organism, being. living thing, animate thing. whole, unit. object, physical object. physical entity. entity. ']","[[array(['alga, algae'], dtype='<U11')]
 [array(['protoctist'], dtype='<U10')]
 [array(['microorganism, micro-organism'], dtype='<U29')]
 [array(['organism, being'], dtype='<U15')]
 [array(['living thing, animate thing'], dtype='<U27')]
 [array(['whole, unit'], dtype='<U11')]
 [array(['object, physical object'], dtype='<U23')]
 [array(['physical entity'], dtype='<U15')]
 [array(['entity'], dtype='<U6')]]",['primitive chlorophyll-containing mainly aquatic eukaryotic organisms lacking true stems and roots and leaves'],"['alga, algae']",0
19,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],0.0,['algae'],0.0,1,"['alga, algae']","['alga, algae. protoctist. microorganism, micro-organism. organism, being. living thing, animate thing. whole, unit. object, physical object. physical entity. entity. ']","[[array(['alga, algae'], dtype='<U11')]
 [array(['protoctist'], dtype='<U10')]
 [array(['microorganism, micro-organism'], dtype='<U29')]
 [array(['organism, being'], dtype='<U15')]
 [array(['living thing, animate thing'], dtype='<U27')]
 [array(['whole, unit'], dtype='<U11')]
 [array(['object, physical object'], dtype='<U23')]
 [array(['physical entity'], dtype='<U15')]
 [array(['entity'], dtype='<U6')]]",['primitive chlorophyll-containing mainly aquatic eukaryotic organisms lacking true stems and roots and leaves'],"['alga, algae']",6
20,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],0.0,"[""altar, communion table, Lord's table""]",0.0,0,[],[],[],[],[],0
21,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],0.0,['altarpiece'],0.0,1,"['altarpiece, reredos']","['altarpiece, reredos. screen. partition, divider. structure, construction. artifact, artefact. whole, unit. object, physical object. physical entity. entity. ']","[[array(['altarpiece, reredos'], dtype='<U19')]
 [array(['screen'], dtype='<U6')]
 [array(['partition, divider'], dtype='<U18')]
 [array(['structure, construction'], dtype='<U23')]
 [array(['artifact, artefact'], dtype='<U18')]
 [array(['whole, unit'], dtype='<U11')]
 [array(['object, physical object'], dtype='<U23')]
 [array(['physical entity'], dtype='<U15')]
 [array(['entity'], dtype='<U6')]]",['a painted or carved screen placed above and behind an altar or communion table'],"['altarpiece, reredos']",0
22,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],0.0,['amphitheater'],0.0,1,"['amphitheater, amphitheatre, coliseum']","['amphitheater, amphitheatre, coliseum. stadium, bowl, arena, sports stadium. structure, construction. artifact, artefact. whole, unit. object, physical object. physical entity. entity. ']","[[array(['amphitheater, amphitheatre, coliseum'], dtype='<U36')]
 [array(['stadium, bowl, arena, sports stadium'], dtype='<U36')]
 [array(['structure, construction'], dtype='<U23')]
 [array(['artifact, artefact'], dtype='<U18')]
 [array(['whole, unit'], dtype='<U11')]
 [array(['object, physical object'], dtype='<U23')]
 [array(['physical entity'], dtype='<U15')]
 [array(['entity'], dtype='<U6')]]",['an oval large stadium with tiers of seats; an arena in which contests and spectacles are held'],"['amphitheater, amphitheatre, coliseum']",0
23,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],1.0,['amphora'],0.0,1,['amphora'],"['amphora. jar. vessel. container. instrumentality, instrumentation. artifact, artefact. whole, unit. object, physical object. physical entity. entity. ']","[[array(['amphora'], dtype='<U7')]
 [array(['jar'], dtype='<U3')]
 [array(['vessel'], dtype='<U6')]
 [array(['container'], dtype='<U9')]
 [array(['instrumentality, instrumentation'], dtype='<U32')]
 [array(['artifact, artefact'], dtype='<U18')]
 [array(['whole, unit'], dtype='<U11')]
 [array(['object, physical object'], dtype='<U23')]
 [array(['physical entity'], dtype='<U15')]
 [array(['entity'], dtype='<U6')]]",['an ancient jar with two handles and a narrow neck; used to hold oil or wine'],['amphora'],0
24,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],0.0,['anchor'],0.0,1,"['anchor, ground tackle']","['anchor, ground tackle. hook, claw. mechanical device. mechanism. device. instrumentality, instrumentation. artifact, artefact. whole, unit. object, physical object. physical entity. entity. ']","[[array(['anchor, ground tackle'], dtype='<U21')]
 [array(['hook, claw'], dtype='<U10')]
 [array(['mechanical device'], dtype='<U17')]
 [array(['mechanism'], dtype='<U9')]
 [array(['device'], dtype='<U6')]
 [array(['instrumentality, instrumentation'], dtype='<U32')]
 [array(['artifact, artefact'], dtype='<U18')]
 [array(['whole, unit'], dtype='<U11')]
 [array(['object, physical object'], dtype='<U23')]
 [array(['physical entity'], dtype='<U15')]
 [array(['entity'], dtype='<U6')]]",['a mechanical device that prevents a vessel from moving'],"['anchor, ground tackle']",3
25,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],0.0,['andiron'],0.0,1,"['andiron, firedog, dog, dog-iron']","['andiron, firedog, dog, dog-iron. support. device. instrumentality, instrumentation. artifact, artefact. whole, unit. object, physical object. physical entity. entity. ']","[[array(['andiron, firedog, dog, dog-iron'], dtype='<U31')]
 [array(['support'], dtype='<U7')]
 [array(['device'], dtype='<U6')]
 [array(['instrumentality, instrumentation'], dtype='<U32')]
 [array(['artifact, artefact'], dtype='<U18')]
 [array(['whole, unit'], dtype='<U11')]
 [array(['object, physical object'], dtype='<U23')]
 [array(['physical entity'], dtype='<U15')]
 [array(['entity'], dtype='<U6')]]","['metal supports for logs in a fireplace; ""the andirons were too hot to touch""']","['andiron, firedog, dog, dog-iron']",0
26,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],0.0,['andirons'],0.0,1,"['andiron, firedog, dog, dog-iron']","['andiron, firedog, dog, dog-iron. support. device. instrumentality, instrumentation. artifact, artefact. whole, unit. object, physical object. physical entity. entity. ']","[[array(['andiron, firedog, dog, dog-iron'], dtype='<U31')]
 [array(['support'], dtype='<U7')]
 [array(['device'], dtype='<U6')]
 [array(['instrumentality, instrumentation'], dtype='<U32')]
 [array(['artifact, artefact'], dtype='<U18')]
 [array(['whole, unit'], dtype='<U11')]
 [array(['object, physical object'], dtype='<U23')]
 [array(['physical entity'], dtype='<U15')]
 [array(['entity'], dtype='<U6')]]","['metal supports for logs in a fireplace; ""the andirons were too hot to touch""']","['andiron, firedog, dog, dog-iron']",0
27,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],0.0,['animal toy'],0.0,1,"['plaything, toy']","['plaything, toy. artifact, artefact. whole, unit. object, physical object. physical entity. entity. ']","[[array(['plaything, toy'], dtype='<U14')]
 [array(['artifact, artefact'], dtype='<U18')]
 [array(['whole, unit'], dtype='<U11')]
 [array(['object, physical object'], dtype='<U23')]
 [array(['physical entity'], dtype='<U15')]
 [array(['entity'], dtype='<U6')]]",['an artifact designed to be played with'],"['plaything, toy']",4
28,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],533.0,"['animal, animate being, beast, brute, creature, fauna']",0.0,1,"['animal, animate being, beast, brute, creature, fauna']","['animal, animate being, beast, brute, creature, fauna. organism, being. living thing, animate thing. whole, unit. object, physical object. physical entity. entity. ']","[[array(['animal, animate being, beast, brute, creature, fauna'],
      dtype='<U52')]
 [array(['organism, being'], dtype='<U15')]
 [array(['living thing, animate thing'], dtype='<U27')]
 [array(['whole, unit'], dtype='<U11')]
 [array(['object, physical object'], dtype='<U23')]
 [array(['physical entity'], dtype='<U15')]
 [array(['entity'], dtype='<U6')]]",['a living organism characterized by voluntary movement'],"['animal, animate being, beast, brute, creature, fauna']",67
29,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],0.0,['animals'],0.0,1,"['animal, animate being, beast, brute, creature, fauna']","['animal, animate being, beast, brute, creature, fauna. organism, being. living thing, animate thing. whole, unit. object, physical object. physical entity. entity. ']","[[array(['animal, animate being, beast, brute, creature, fauna'],
      dtype='<U52')]
 [array(['organism, being'], dtype='<U15')]
 [array(['living thing, animate thing'], dtype='<U27')]
 [array(['whole, unit'], dtype='<U11')]
 [array(['object, physical object'], dtype='<U23')]
 [array(['physical entity'], dtype='<U15')]
 [array(['entity'], dtype='<U6')]]",['a living organism characterized by voluntary movement'],"['animal, animate being, beast, brute, creature, fauna']",67
30,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],3.0,['antenna'],1.0,1,"['antenna, aerial, transmitting aerial']","['antenna, aerial, transmitting aerial. electrical device. device. instrumentality, instrumentation. artifact, artefact. whole, unit. object, physical object. physical entity. entity. ']","[[array(['antenna, aerial, transmitting aerial'], dtype='<U36')]
 [array(['electrical device'], dtype='<U17')]
 [array(['device'], dtype='<U6')]
 [array(['instrumentality, instrumentation'], dtype='<U32')]
 [array(['artifact, artefact'], dtype='<U18')]
 [array(['whole, unit'], dtype='<U11')]
 [array(['object, physical object'], dtype='<U23')]
 [array(['physical entity'], dtype='<U15')]
 [array(['entity'], dtype='<U6')]]",['an electrical device that sends or receives radio or television signals'],"['antenna, aerial, transmitting aerial']",14
31,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],179.0,"['antenna, aerial, transmitting aerial']",0.0,1,"['antenna, aerial, transmitting aerial']","['antenna, aerial, transmitting aerial. electrical device. device. instrumentality, instrumentation. artifact, artefact. whole, unit. object, physical object. physical entity. entity. ']","[[array(['antenna, aerial, transmitting aerial'], dtype='<U36')]
 [array(['electrical device'], dtype='<U17')]
 [array(['device'], dtype='<U6')]
 [array(['instrumentality, instrumentation'], dtype='<U32')]
 [array(['artifact, artefact'], dtype='<U18')]
 [array(['whole, unit'], dtype='<U11')]
 [array(['object, physical object'], dtype='<U23')]
 [array(['physical entity'], dtype='<U15')]
 [array(['entity'], dtype='<U6')]]",['an electrical device that sends or receives radio or television signals'],"['antenna, aerial, transmitting aerial']",14
32,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],8.0,['antler'],0.0,1,['antler'],"['antler. horn. process, outgrowth, appendage. body part. part, piece. thing. physical entity. entity. ']","[[array(['antler'], dtype='<U6')]
 [array(['horn'], dtype='<U4')]
 [array(['process, outgrowth, appendage'], dtype='<U29')]
 [array(['body part'], dtype='<U9')]
 [array(['part, piece'], dtype='<U11')]
 [array(['thing'], dtype='<U5')]
 [array(['physical entity'], dtype='<U15')]
 [array(['entity'], dtype='<U6')]]",['deciduous horn of a member of the deer family'],['antler'],0
33,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],1.0,['antlers'],1.0,1,['antler'],"['antler. horn. process, outgrowth, appendage. body part. part, piece. thing. physical entity. entity. ']","[[array(['antler'], dtype='<U6')]
 [array(['horn'], dtype='<U4')]
 [array(['process, outgrowth, appendage'], dtype='<U29')]
 [array(['body part'], dtype='<U9')]
 [array(['part, piece'], dtype='<U11')]
 [array(['thing'], dtype='<U5')]
 [array(['physical entity'], dtype='<U15')]
 [array(['entity'], dtype='<U6')]]",['deciduous horn of a member of the deer family'],['antler'],0
34,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],1.0,['anvil'],0.0,1,['anvil'],"['anvil. block. artifact, artefact. whole, unit. object, physical object. physical entity. entity. ']","[[array(['anvil'], dtype='<U5')]
 [array(['block'], dtype='<U5')]
 [array(['artifact, artefact'], dtype='<U18')]
 [array(['whole, unit'], dtype='<U11')]
 [array(['object, physical object'], dtype='<U23')]
 [array(['physical entity'], dtype='<U15')]
 [array(['entity'], dtype='<U6')]]",['a heavy block of iron or steel on which hot metals are shaped by hammering'],['anvil'],1
35,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],474.0,['aperture'],1.0,1,['aperture'],"['aperture. hole. opening, gap. space. amorphous shape. shape, form. attribute. abstraction, abstract entity. entity. ']","[[array(['aperture'], dtype='<U8')]
 [array(['hole'], dtype='<U4')]
 [array(['opening, gap'], dtype='<U12')]
 [array(['space'], dtype='<U5')]
 [array(['amorphous shape'], dtype='<U15')]
 [array(['shape, form'], dtype='<U11')]
 [array(['attribute'], dtype='<U9')]
 [array(['abstraction, abstract entity'], dtype='<U28')]
 [array(['entity'], dtype='<U6')]]",['a natural opening in something'],['aperture'],0
36,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],0.0,['apparatus'],0.0,1,['machine'],"['machine. device. instrumentality, instrumentation. artifact, artefact. whole, unit. object, physical object. physical entity. entity. ']","[[array(['machine'], dtype='<U7')]
 [array(['device'], dtype='<U6')]
 [array(['instrumentality, instrumentation'], dtype='<U32')]
 [array(['artifact, artefact'], dtype='<U18')]
 [array(['whole, unit'], dtype='<U11')]
 [array(['object, physical object'], dtype='<U23')]
 [array(['physical entity'], dtype='<U15')]
 [array(['entity'], dtype='<U6')]]",['any mechanical or electrical device that transmits or modifies energy to perform or assist in the performance of human tasks'],['machine'],33
